,Name,IMDB Rating,Duration,Year,Age,Subtitles Available,Genres,Subtitles
3658,Star Trek I: The Motion Picture,6.4,131 min,1979,All Ages,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien","English [CC], हिन्दी"
3659,Rumble In The Bronx,6.7,89 min,1996,18+,CC,"Action/Adventure: Martial Arts, Comedy: Action/Adventure",English [CC]
3660,Chander Pahar,6.5,150 min,2013,13+,,"Action/Adventure, Drama, Drama: Thriller, World Cinema: Indian",
3661,Collateral Damage,5.5,108 min,2002,18+,CC,"Action/Adventure, Action/Adventure: Crime",
3662,Royal Bengal Rahasya,7.3,102 min,2011,13+,,"Action/Adventure: Thriller, Thriller: Mystery, World Cinema: Indian",
3663,Star Trek X: Nemesis,6.4,116 min,2002,13+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien","English, हिन्दी"
3664,Masters of the Universe,5.3,105 min,1987,7+,CC,"Action/Adventure: Sci-fi/Fantasy, Action/Adventure: Superheroes, Sci-Fi/Fantasy: Action/Adventure",English
3665,Snakes on a Plane,5.6,105 min,2006,18+,CC,"Action/Adventure: Crime, Action/Adventure: Thriller, Thriller: Action/Adventure",
3666,Mortal Kombat 2: Annihilation,3.7,94 min,1997,13+,CC,"Action/Adventure: Martial Arts, Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure",
3667,The Yakuza,7.3,112 min,1975,18+,,"Action/Adventure: Crime, Drama: Crime",
3668,The Glimmer Man,5.3,91 min,1996,18+,CC,Action/Adventure: Crime,English
3669,Mortal Kombat,5.8,101 min,1995,13+,CC,"Action/Adventure: Martial Arts, Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure",
3670,Mad Max,7.0,89 min,1979,18+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Thriller",
3671,Red Planet,5.7,106 min,2000,13+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Thriller",
3672,Gentleman,8.0,160 min,1993,All Ages,CC,"Action/Adventure: Crime, Drama: Crime, Drama: Romance, World Cinema: Indian",English [CC]
3673,Tango & Cash,6.3,103 min,1989,18+,CC,Action/Adventure,
3674,Bloodsport,6.8,92 min,1988,18+,CC,"Action/Adventure: Martial Arts, Drama, Drama: Biography, Sport: Martial Arts",English [CC]
3675,Eraser,6.1,114 min,1996,18+,CC,"Action/Adventure, Action/Adventure: Thriller",
3676,Enter the Dragon (1973),7.7,102 min,1973,18+,CC,Action/Adventure: Martial Arts,English [CC]
3677,Star Trek VI: The Undiscovered Country,7.2,109 min,1991,7+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien","English, हिन्दी"
3678,Star Trek II: The Wrath of Khan,7.7,113 min,1982,7+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien",
3679,Zulu,7.8,138 min,1964,NR,,"Action/Adventure: Epic, Action/Adventure: War",
3680,Space Cowboys,6.4,130 min,2000,13+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure",
3681,Romeo Must Die,6.1,115 min,2000,18+,CC,"Action/Adventure: Crime, Action/Adventure: Martial Arts",English [CC]
3682,Star Trek IV: The Voyage Home,7.3,118 min,1986,7+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien","English [CC], हिन्दी"
3683,Star Trek III: The Search for Spock,6.6,105 min,1984,7+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien","English [CC], हिन्दी"
3684,Project X,5.5,97 min,1968,18+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure",English
3685,3000 Miles to Graceland,5.9,124 min,2001,18+,CC,"Action/Adventure, Comedy, Action/Adventure: Crime, Comedy: Crime",English [CC]
3686,Maanagrakaval,,150 min,1991,All Ages,CC,"Action/Adventure: Espionage & Spies, Drama: Crime, World Cinema: Indian",English [CC]
3687,The Avengers,3.7,89 min,1998,NR,CC,Action/Adventure: Sci-fi/Fantasy,English [CC]
3688,Congo,5.1,108 min,1995,13+,CC,"Action/Adventure, Drama",English
3689,Star Trek VII: Generations,6.6,117 min,1994,7+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien","English, हिन्दी"
3690,Star Trek V: The Final Frontier,5.4,106 min,1989,7+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien","English, हिन्दी"
3691,Star Trek IX: Insurrection,6.4,102 min,1998,13+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien","English, हिन्दी"
3692,Walking Tall,6.9,124 min,1973,18+,CC,"Action/Adventure: Crime, Drama: Biography",English
3693,Days of Thunder,5.9,107 min,1990,13+,CC,"Action/Adventure, Drama, Sport: Motor Sport","English, हिन्दी"
3694,Joddha,4.9,150 min,2014,13+,,"Action/Adventure: Epic, Drama: Period, Drama: Romance, World Cinema: Indian",
3695,Alibaba And 40 Thieves,,151 min,1966,All Ages,,"Action/Adventure, Bollywood: Action/Adventure, Sci-Fi/Fantasy: Action/Adventure, World Cinema: Indian",
3696,Sahasam,6.6,148 min,2013,13+,,"Action/Adventure, World Cinema: Indian",
3697,Sethupathi IPS,6.4,128 min,1994,All Ages,CC,"Action/Adventure: Crime, Action/Adventure: Espionage & Spies, World Cinema: Indian",English [CC]
3698,Wild Wild West,4.8,105 min,1999,7+,CC,"Western, Sci-Fi/Fantasy, Action/Adventure: Crime, Sci-Fi/Fantasy, Comedy",
3699,Yoddha,,131 min,2013,All Ages,CC,"Action/Adventure: Crime, Action/Adventure: Espionage & Spies, Drama: Crime, World Cinema: Indian",English [CC]
3700,The Towering Inferno,6.9,164 min,1974,7+,,"Action/Adventure, Drama",
